Original	Corrected	Label
the boy are here .	The boy are here .	0
the boy have n't been there .	The boy hasn't been there .	0
the boy like to read .	The boy likes to read .	0
the boy know where to go .	The boy knows where to go.	0
the boy seem nice .	the boy seem nice .	0
the boy are walking .	The boy walking .	0
the boy sleep here .	the boy sleeps here .	0
the boy have a problem .	The boy has a problem .	0
the boy have to go .	The boy has to go .	0
the boy get it .	The boy gets it .	0
the boy have the flu .	The boy has the flu .	0
the boy feel great .	The boy feels great.	0
the boy are n't going to come .	The boy isn't going to come .	0
she are here .	She is here .	0
she have n't been there .	She hasn't been there.	0
she like to read .	She likes to read.	0
she know where to go .	She knows where to go.	0
she seem nice .	She seem nice .	0
she are walking .	she is walking .	0
she sleep here .	She sleeps here .	0
she have a problem .	She has a problem .	0
she have to go .	She has to go .	0
she get it .	She got it .	0
she have the flu .	She has the flu.	0
she feel great .	She feels great.	0
she are n't going to come .	She is n't going to come.	0
he are here .	He is here .	0
he have n't been there .	he hasn't been there .	0
he like to read .	He likes to read .	0
he know where to go .	He knows where to go.	0
he seem nice .	He seems nice .	0
he are walking .	he is walking .	0
he sleep here .	He sleeps here .	0
he have a problem .	he has a problem .	0
he have to go .	He has to go.	0
he get it .	He gets it .	0
he have the flu .	He has the flu .	0
he feel great .	He feels great.	0
he are n't going to come .	he are n't going to come .	0
my friend are here .	My friend are here .	0
my friend have n't been there .	my friend hasn't been there .	0
my friend like to read .	My friend likes to read .	0
my friend know where to go .	my friend know where to go.	0
my friend seem nice .	my friend seem nice .	0
my friend are walking .	my friend walking .	0
my friend sleep here .	my friend sleeps here .	0
my friend have a problem .	My friend has a problem .	0
my friend have to go .	my friend have to go .	0
my friend get it .	my friend got it .	0
my friend have the flu .	My friend has the flu.	0
my friend feel great .	My friend feels great.	0
my friend are n't going to come .	My friend are n't going to come.	0
that guy are here .	That guy is here .	0
that guy have n't been there .	That guy hasn't been there .	0
that guy like to read .	That guy likes to read .	0
that guy know where to go .	That guy knows where to go.	0
that guy seem nice .	That guy seems nice .	0
that guy are walking .	that guy are walking .	0
that guy sleep here .	That guy sleeps here .	0
that guy have a problem .	That guy has a problem .	0
that guy have to go .	That guy has to go.	0
that guy get it .	That guy got it .	0
that guy have the flu .	That guy has the flu .	0
that guy feel great .	That guy feels great.	0
that guy are n't going to come .	That guy isn't going to come.	0
the dancer are here .	The dancers are here .	0
the dancer have n't been there .	the dancer have n't been there .	0
the dancer like to read .	the dancer like to read .	0
the dancer know where to go .	The dancer knows where to go.	0
the dancer seem nice .	the dancer seem nice .	0
the dancer are walking .	dancer walking .	0
the dancer sleep here .	the dancer sleeps here .	0
the dancer have a problem .	The dancer has a problem .	0
the dancer have to go .	The dancer has to go .	0
the dancer get it .	The dancer gets it .	0
the dancer have the flu .	The dancer has the flu .	0
the dancer feel great .	dancer feel great.	0
the dancer are n't going to come .	The dancers are n't going to come .	0
everyone are here .	Everyone is here .	0
everyone have n't been there .	everyone has n't been there .	0
everyone like to read .	Everyone likes to read .	0
everyone know where to go .	Everyone knows where to go.	0
everyone seem nice .	everyone seem nice .	0
everyone are walking .	everyone is walking .	0
everyone sleep here .	Everyone sleeps here .	0
everyone have a problem .	Everyone has a problem .	0
everyone have to go .	everyone has to go .	0
everyone get it .	Everyone gets it .	0
everyone have the flu .	Everyone has the flu.	0
everyone feel great .	Everyone feels great.	0
everyone are n't going to come .	Everyone is n't going to come.	0
mary are here .	mary is here .	0
mary have n't been there .	mary hasn't been there .	0
mary like to read .	mary likes to read.	0
mary know where to go .	mary know where to go.	0
mary seem nice .	mary seems nice .	0
mary are walking .	mary are walking .	0
mary sleep here .	mary sleeps here .	0
mary have a problem .	mary has a problem .	0
mary have to go .	mary has to go .	0
mary get it .	mary got it .	0
mary have the flu .	mary had the flu .	0
mary feel great .	mary feel great.	0
mary are n't going to come .	mary is n't going to come .	0
the doctor are here .	The Doctors are here .	0
the doctor have n't been there .	The doctor hasn't been there .	0
the doctor like to read .	The doctor likes to read .	0
the doctor know where to go .	Let the doctor know where to go.	0
the doctor seem nice .	The doctor seems nice .	0
the doctor are walking .	The doctor walking .	0
the doctor sleep here .	The doctor sleeps here .	0
the doctor have a problem .	Doctors have a problem.	0
the doctor have to go .	The doctor has to go.	0
the doctor get it .	The doctor got it .	0
the doctor have the flu .	The doctor has the flu.	0
the doctor feel great .	The doctor felt great.	0
the doctor are n't going to come .	The doctor aren't going to come.	0
some woman are here .	Some women are here .	0
some woman have n't been there .	Some woman hasn't been there.	0
some woman like to read .	Some women like to read .	0
some woman know where to go .	Some woman know where to go.	0
some woman seem nice .	Some woman seem nice .	0
some woman are walking .	Some women are walking .	0
some woman sleep here .	Some woman sleep here .	0
some woman have a problem .	Some women have a problem.	0
some woman have to go .	Some woman have to go.	0
some woman get it .	Some woman got it .	0
some woman have the flu .	Some women have the flu.	0
some woman feel great .	Some women feel great.	0
some woman are n't going to come .	Some woman aren't going to come.	0
john are here .	John is here .	0
john have n't been there .	John hasn't been there .	0
john like to read .	John likes to read.	0
john know where to go .	john know where to go.	0
john seem nice .	John seems nice .	0
john are walking .	John walking .	0
john sleep here .	John sleeps here .	0
john have a problem .	John has a problem .	0
john have to go .	John has to go .	0
john get it .	John got it .	0
john have the flu .	John has the flu.	0
john feel great .	John feels great.	0
john are n't going to come .	John isn't going to come.	0
mr. smith are here .	Mr. Smith is here .	0
mr. smith have n't been there .	Mr. Smith hasn't been there .	0
mr. smith like to read .	Mr. Smith likes to read.	0
mr. smith know where to go .	Mr. Smith knows where to go.	0
mr. smith seem nice .	Mr. Smith seems nice .	0
mr. smith are walking .	Mr. Smith walking .	0
mr. smith sleep here .	Mr. Smith sleeps here.	0
mr. smith have a problem .	Mr. Smith has a problem.	0
mr. smith have to go .	Mr. Smith has to go.	0
mr. smith get it .	Mr. Smith got it .	0
mr. smith have the flu .	Mr. Smith has the flu.	0
mr. smith feel great .	Mr. Smith feels great.	0
mr. smith are n't going to come .	Mr. Smith is n't going to come.	0
the guest of honor are here .	The guest of honor are here .	0
the guest of honor have n't been there .	The guest of honor hasn't been there.	0
the guest of honor like to read .	The guest of honor likes to read .	0
the guest of honor know where to go .	Let the guest of honor know where to go.	0
the guest of honor seem nice .	The guest of honor seems nice.	0
the guest of honor are walking .	The guest of honor is walking.	0
the guest of honor sleep here .	The guest of honor sleeps here.	0
the guest of honor have a problem .	The guest of honor has a problem .	0
the guest of honor have to go .	The guest of honor has to go.	0
the guest of honor get it .	The guest of honor gets it.	0
the guest of honor have the flu .	The guest of honor has the flu.	0
the guest of honor feel great .	The guest of honor felt great.	0
the guest of honor are n't going to come .	The guest of honor is n't going to come.	0
the boys is here .	The boys is here .	0
the boys has n't been there .	The boys hasn't been there .	0
the boys likes to read .	The boys likes to read .	0
the boys knows where to go .	The boys knows where to go.	0
the boys seems nice .	the boys seems nice .	0
the boys is walking .	The boys are walking .	0
the boys sleeps here .	The boys sleeps here .	0
the boys has a problem .	The boys has a problem .	0
the boys has to go .	The boys has to go .	0
the boys gets it .	The boys gets it .	0
the boys has the flu .	The boys has the flu .	0
the boys feels great .	The boys feels great.	0
the boys is n't going to come .	The boys is n't going to come .	0
they is here .	They are here .	0
they has n't been there .	They haven't been there .	0
they likes to read .	they like to read .	0
they knows where to go .	They know where to go.	0
they seems nice .	they seem nice .	0
they is walking .	they are walking .	0
they sleeps here .	They sleep here .	0
they has a problem .	They have a problem .	0
they has to go .	They have to go .	0
they gets it .	They get it .	0
they has the flu .	They have the flu.	0
they feels great .	It feels great.	0
they is n't going to come .	They are n't going to come .	0
we is here .	We are here .	0
we has n't been there .	We haven't been there yet.	0
we likes to read .	We like to read .	0
we knows where to go .	We know where to go.	0
we seems nice .	We seem nice .	0
we is walking .	We walk .	0
we sleeps here .	We sleep here .	0
we has a problem .	We have a problem.	0
we has to go .	We have to go.	0
we gets it .	We get it .	0
we has the flu .	We have the flu.	0
we feels great .	We feel great.	0
we is n't going to come .	We is n't going to come .	0
my friends is here .	My friends is here .	0
my friends has n't been there .	My friends hasn't been there.	0
my friends likes to read .	My friends like to read .	0
my friends knows where to go .	My friends knows where to go.	0
my friends seems nice .	my friends seems nice .	0
my friends is walking .	my friends walking .	0
my friends sleeps here .	My friends sleeps here.	0
my friends has a problem .	My friends has a problem .	0
my friends has to go .	My friend has to go .	0
my friends gets it .	my friends gets it .	0
my friends has the flu .	My friend has the flu.	0
my friends feels great .	My friends feels great.	0
my friends is n't going to come .	My friends is n't going to come.	0
those guys is here .	those guys is here .	0
those guys has n't been there .	those guys hasn't been there .	0
those guys likes to read .	those guys like to read .	0
those guys knows where to go .	those guys know where to go.	0
those guys seems nice .	those guys seems nice .	0
those guys is walking .	those guys are walking .	0
those guys sleeps here .	those guys sleeps here .	0
those guys has a problem .	those guys have a problem .	0
those guys has to go .	those guys has to go .	0
those guys gets it .	those guys got it .	0
those guys has the flu .	those guys have the flu .	0
those guys feels great .	those guys feel great .	0
those guys is n't going to come .	That guy isn't going to come.	0
the dancers is here .	The dancers is here .	0
the dancers has n't been there .	The dancers hasn't been there .	0
the dancers likes to read .	The dancers like to read .	0
the dancers knows where to go .	The dancers know where to go.	0
the dancers seems nice .	the dancers seems nice .	0
the dancers is walking .	dancers walking .	0
the dancers sleeps here .	the dancers sleeps here .	0
the dancers has a problem .	The dancers has a problem .	0
the dancers has to go .	The dancers has to go .	0
the dancers gets it .	The dancers gets it .	0
the dancers has the flu .	dancers has the flu .	0
the dancers feels great .	The dancers feels great.	0
the dancers is n't going to come .	The dancers is n't going to come .	0
most people is here .	Most people are here .	0
most people has n't been there .	Most people haven't been there .	0
most people likes to read .	Most people like to read .	0
most people knows where to go .	Most people know where to go.	0
most people seems nice .	Most people seems nice .	0
most people is walking .	Most people walk .	0
most people sleeps here .	Most people sleep here .	0
most people has a problem .	Most people have a problem .	0
most people has to go .	Most people have to go.	0
most people gets it .	Most people get it .	0
most people has the flu .	Most people have the flu.	0
most people feels great .	Most people feel great.	0
most people is n't going to come .	Most people aren't going to come.	0
mary and sarah is here .	mary and sarah is here .	0
mary and sarah has n't been there .	mary and sarah hasn't been there .	0
mary and sarah likes to read .	mary and sarah like to read.	0
mary and sarah knows where to go .	mary and sarah know where to go.	0
mary and sarah seems nice .	mary and sarah seem nice .	0
mary and sarah is walking .	mary and sarah walking .	0
mary and sarah sleeps here .	mary and sarah sleep here .	0
mary and sarah has a problem .	mary and sarah have a problem .	0
mary and sarah has to go .	mary and sarah have to go .	0
mary and sarah gets it .	mary and sarah gets it .	0
mary and sarah has the flu .	mary and sarah have the flu.	0
mary and sarah feels great .	mary and sarah feels great.	0
mary and sarah is n't going to come .	mary and sarah is n't going to come .	0
the doctors is here .	The doctors are here .	0
the doctors has n't been there .	The doctors hasn't been there .	0
the doctors likes to read .	The doctors like to read .	0
the doctors knows where to go .	The doctors knows where to go.	0
the doctors seems nice .	The doctors seems nice .	0
the doctors is walking .	The doctor is walking .	0
the doctors sleeps here .	The doctors sleep here .	0
the doctors has a problem .	The doctors has a problem .	0
the doctors has to go .	The doctors has to go .	0
the doctors gets it .	The doctors get it .	0
the doctors has the flu .	The doctors have the flu .	0
the doctors feels great .	The doctors feel great.	0
the doctors is n't going to come .	The doctors isn't going to come .	0
some women is here .	Some women is here .	0
some women has n't been there .	Some women hasn't been there.	0
some women likes to read .	Some women like to read.	0
some women knows where to go .	Some women know where to go.	0
some women seems nice .	Some women seems nice .	0
some women is walking .	Some women are walking .	0
some women sleeps here .	Some women sleep here .	0
some women has a problem .	Some women have a problem .	0
some women has to go .	Some women has to go.	0
some women gets it .	Some women get it .	0
some women has the flu .	Some women have the flu.	0
some women feels great .	Some women feel great.	0
some women is n't going to come .	Some women is n't going to come.	0
john and his wife is here .	John and his wife are here.	0
john and his wife has n't been there .	John and his wife haven't been there.	0
john and his wife likes to read .	John and his wife like to read.	0
john and his wife knows where to go .	John and his wife know where to go.	0
john and his wife seems nice .	John and his wife seem nice.	0
john and his wife is walking .	John and his wife walking .	0
john and his wife sleeps here .	John and his wife sleep here.	0
john and his wife has a problem .	John and his wife have a problem.	0
john and his wife has to go .	John and his wife have to go.	0
john and his wife gets it .	John and his wife get it .	0
john and his wife has the flu .	John and his wife have the flu.	0
john and his wife feels great .	John and his wife feel great.	0
john and his wife is n't going to come .	John and his wife aren't going to come.	0
mr. and mrs. smith is here .	Mr. and Mrs. Smith is here.	0
mr. and mrs. smith has n't been there .	Mr. and Mrs. Smith has n't been there .	0
mr. and mrs. smith likes to read .	Mr. and Mrs. Smith likes to read.	0
mr. and mrs. smith knows where to go .	Mr. and Mrs. Smith knows where to go.	0
mr. and mrs. smith seems nice .	Mr. and Mrs. Smith seems nice .	0
mr. and mrs. smith is walking .	Mr. and Mrs. Smith walking .	0
mr. and mrs. smith sleeps here .	Mr. and Mrs. Smith sleeps here.	0
mr. and mrs. smith has a problem .	Mr. and Mrs. Smith has a problem.	0
mr. and mrs. smith has to go .	Mr. and Mrs. Smith has to go.	0
mr. and mrs. smith gets it .	Mr. and Mrs. Smith gets it .	0
mr. and mrs. smith has the flu .	Mrs. and Mrs. Smith have the flu.	0
mr. and mrs. smith feels great .	Mr. and Mrs. Smith feels great.	0
mr. and mrs. smith is n't going to come .	Mr. and Mrs. Smith is n't going to come .	0
the guests of honor is here .	The guests of honor is here.	0
the guests of honor has n't been there .	The guests of honor hasn't been there.	0
the guests of honor likes to read .	The guests of honor like to read .	0
the guests of honor knows where to go .	The guests of honor know where to go.	0
the guests of honor seems nice .	The guests of honor seems nice.	0
the guests of honor is walking .	The guests of honor walk .	0
the guests of honor sleeps here .	The guests of honor sleep here.	0
the guests of honor has a problem .	The guests of honor has a problem .	0
the guests of honor has to go .	The guests of honor has to go.	0
the guests of honor gets it .	The guest of honor gets it.	0
the guests of honor has the flu .	The guests of honor has the flu.	0
the guests of honor feels great .	The guests of honor felt great.	0
the guests of honor is n't going to come .	The guests of honor is n't going to come.	0
