Original	Corrected
the boy are here .	The boy are here .
the boy have n't been there .	The boy hasn't been there .
the boy like to read .	The boy likes to read .
the boy know where to go .	The boy knows where to go.
the boy seem nice .	the boy seem nice .
the boy are walking .	The boy walking .
the boy sleep here .	the boy sleeps here .
the boy have a problem .	The boy has a problem .
the boy have to go .	The boy has to go .
the boy get it .	The boy gets it .
the boy have the flu .	The boy has the flu .
the boy feel great .	The boy feels great.
the boy are n't going to come .	The boy isn't going to come .
she are here .	She is here .
she have n't been there .	She hasn't been there.
she like to read .	She likes to read.
she know where to go .	She knows where to go.
she seem nice .	She seem nice .
she are walking .	she is walking .
she sleep here .	She sleeps here .
she have a problem .	She has a problem .
she have to go .	She has to go .
she get it .	She got it .
she have the flu .	She has the flu.
she feel great .	She feels great.
she are n't going to come .	She is n't going to come.
he are here .	He is here .
he have n't been there .	he hasn't been there .
he like to read .	He likes to read .
he know where to go .	He knows where to go.
he seem nice .	He seems nice .
he are walking .	he is walking .
he sleep here .	He sleeps here .
he have a problem .	he has a problem .
he have to go .	He has to go.
he get it .	He gets it .
he have the flu .	He has the flu .
he feel great .	He feels great.
he are n't going to come .	he are n't going to come .
my friend are here .	My friend are here .
my friend have n't been there .	my friend hasn't been there .
my friend like to read .	My friend likes to read .
my friend know where to go .	my friend know where to go.
my friend seem nice .	my friend seem nice .
my friend are walking .	my friend walking .
my friend sleep here .	my friend sleeps here .
my friend have a problem .	My friend has a problem .
my friend have to go .	my friend have to go .
my friend get it .	my friend got it .
my friend have the flu .	My friend has the flu.
my friend feel great .	My friend feels great.
my friend are n't going to come .	My friend are n't going to come.
that guy are here .	That guy is here .
that guy have n't been there .	That guy hasn't been there .
that guy like to read .	That guy likes to read .
that guy know where to go .	That guy knows where to go.
that guy seem nice .	That guy seems nice .
that guy are walking .	that guy are walking .
that guy sleep here .	That guy sleeps here .
that guy have a problem .	That guy has a problem .
that guy have to go .	That guy has to go.
that guy get it .	That guy got it .
that guy have the flu .	That guy has the flu .
that guy feel great .	That guy feels great.
that guy are n't going to come .	That guy isn't going to come.
the dancer are here .	The dancers are here .
the dancer have n't been there .	the dancer have n't been there .
the dancer like to read .	the dancer like to read .
the dancer know where to go .	The dancer knows where to go.
the dancer seem nice .	the dancer seem nice .
the dancer are walking .	dancer walking .
the dancer sleep here .	the dancer sleeps here .
the dancer have a problem .	The dancer has a problem .
the dancer have to go .	The dancer has to go .
the dancer get it .	The dancer gets it .
the dancer have the flu .	The dancer has the flu .
the dancer feel great .	dancer feel great.
the dancer are n't going to come .	The dancers are n't going to come .
everyone are here .	Everyone is here .
everyone have n't been there .	everyone has n't been there .
everyone like to read .	Everyone likes to read .
everyone know where to go .	Everyone knows where to go.
everyone seem nice .	everyone seem nice .
everyone are walking .	everyone is walking .
everyone sleep here .	Everyone sleeps here .
everyone have a problem .	Everyone has a problem .
everyone have to go .	everyone has to go .
everyone get it .	Everyone gets it .
everyone have the flu .	Everyone has the flu.
everyone feel great .	Everyone feels great.
everyone are n't going to come .	Everyone is n't going to come.
mary are here .	mary is here .
mary have n't been there .	mary hasn't been there .
mary like to read .	mary likes to read.
mary know where to go .	mary know where to go.
mary seem nice .	mary seems nice .
mary are walking .	mary are walking .
mary sleep here .	mary sleeps here .
mary have a problem .	mary has a problem .
mary have to go .	mary has to go .
mary get it .	mary got it .
mary have the flu .	mary had the flu .
mary feel great .	mary feel great.
mary are n't going to come .	mary is n't going to come .
the doctor are here .	The Doctors are here .
the doctor have n't been there .	The doctor hasn't been there .
the doctor like to read .	The doctor likes to read .
the doctor know where to go .	Let the doctor know where to go.
the doctor seem nice .	The doctor seems nice .
the doctor are walking .	The doctor walking .
the doctor sleep here .	The doctor sleeps here .
the doctor have a problem .	Doctors have a problem.
the doctor have to go .	The doctor has to go.
the doctor get it .	The doctor got it .
the doctor have the flu .	The doctor has the flu.
the doctor feel great .	The doctor felt great.
the doctor are n't going to come .	The doctor aren't going to come.
some woman are here .	Some women are here .
some woman have n't been there .	Some woman hasn't been there.
some woman like to read .	Some women like to read .
some woman know where to go .	Some woman know where to go.
some woman seem nice .	Some woman seem nice .
some woman are walking .	Some women are walking .
some woman sleep here .	Some woman sleep here .
some woman have a problem .	Some women have a problem.
some woman have to go .	Some woman have to go.
some woman get it .	Some woman got it .
some woman have the flu .	Some women have the flu.
some woman feel great .	Some women feel great.
some woman are n't going to come .	Some woman aren't going to come.
john are here .	John is here .
john have n't been there .	John hasn't been there .
john like to read .	John likes to read.
john know where to go .	john know where to go.
john seem nice .	John seems nice .
john are walking .	John walking .
john sleep here .	John sleeps here .
john have a problem .	John has a problem .
john have to go .	John has to go .
john get it .	John got it .
john have the flu .	John has the flu.
john feel great .	John feels great.
john are n't going to come .	John isn't going to come.
mr. smith are here .	Mr. Smith is here .
mr. smith have n't been there .	Mr. Smith hasn't been there .
mr. smith like to read .	Mr. Smith likes to read.
mr. smith know where to go .	Mr. Smith knows where to go.
mr. smith seem nice .	Mr. Smith seems nice .
mr. smith are walking .	Mr. Smith walking .
mr. smith sleep here .	Mr. Smith sleeps here.
mr. smith have a problem .	Mr. Smith has a problem.
mr. smith have to go .	Mr. Smith has to go.
mr. smith get it .	Mr. Smith got it .
mr. smith have the flu .	Mr. Smith has the flu.
mr. smith feel great .	Mr. Smith feels great.
mr. smith are n't going to come .	Mr. Smith is n't going to come.
the guest of honor are here .	The guest of honor are here .
the guest of honor have n't been there .	The guest of honor hasn't been there.
the guest of honor like to read .	The guest of honor likes to read .
the guest of honor know where to go .	Let the guest of honor know where to go.
the guest of honor seem nice .	The guest of honor seems nice.
the guest of honor are walking .	The guest of honor is walking.
the guest of honor sleep here .	The guest of honor sleeps here.
the guest of honor have a problem .	The guest of honor has a problem .
the guest of honor have to go .	The guest of honor has to go.
the guest of honor get it .	The guest of honor gets it.
the guest of honor have the flu .	The guest of honor has the flu.
the guest of honor feel great .	The guest of honor felt great.
the guest of honor are n't going to come .	The guest of honor is n't going to come.
the boys is here .	The boys is here .
the boys has n't been there .	The boys hasn't been there .
the boys likes to read .	The boys likes to read .
the boys knows where to go .	The boys knows where to go.
the boys seems nice .	the boys seems nice .
the boys is walking .	The boys are walking .
the boys sleeps here .	The boys sleeps here .
the boys has a problem .	The boys has a problem .
the boys has to go .	The boys has to go .
the boys gets it .	The boys gets it .
the boys has the flu .	The boys has the flu .
the boys feels great .	The boys feels great.
the boys is n't going to come .	The boys is n't going to come .
they is here .	They are here .
they has n't been there .	They haven't been there .
they likes to read .	they like to read .
they knows where to go .	They know where to go.
they seems nice .	they seem nice .
they is walking .	they are walking .
they sleeps here .	They sleep here .
they has a problem .	They have a problem .
they has to go .	They have to go .
they gets it .	They get it .
they has the flu .	They have the flu.
they feels great .	It feels great.
they is n't going to come .	They are n't going to come .
we is here .	We are here .
we has n't been there .	We haven't been there yet.
we likes to read .	We like to read .
we knows where to go .	We know where to go.
we seems nice .	We seem nice .
we is walking .	We walk .
we sleeps here .	We sleep here .
we has a problem .	We have a problem.
we has to go .	We have to go.
we gets it .	We get it .
we has the flu .	We have the flu.
we feels great .	We feel great.
we is n't going to come .	We is n't going to come .
my friends is here .	My friends is here .
my friends has n't been there .	My friends hasn't been there.
my friends likes to read .	My friends like to read .
my friends knows where to go .	My friends knows where to go.
my friends seems nice .	my friends seems nice .
my friends is walking .	my friends walking .
my friends sleeps here .	My friends sleeps here.
my friends has a problem .	My friends has a problem .
my friends has to go .	My friend has to go .
my friends gets it .	my friends gets it .
my friends has the flu .	My friend has the flu.
my friends feels great .	My friends feels great.
my friends is n't going to come .	My friends is n't going to come.
those guys is here .	those guys is here .
those guys has n't been there .	those guys hasn't been there .
those guys likes to read .	those guys like to read .
those guys knows where to go .	those guys know where to go.
those guys seems nice .	those guys seems nice .
those guys is walking .	those guys are walking .
those guys sleeps here .	those guys sleeps here .
those guys has a problem .	those guys have a problem .
those guys has to go .	those guys has to go .
those guys gets it .	those guys got it .
those guys has the flu .	those guys have the flu .
those guys feels great .	those guys feel great .
those guys is n't going to come .	That guy isn't going to come.
the dancers is here .	The dancers is here .
the dancers has n't been there .	The dancers hasn't been there .
the dancers likes to read .	The dancers like to read .
the dancers knows where to go .	The dancers know where to go.
the dancers seems nice .	the dancers seems nice .
the dancers is walking .	dancers walking .
the dancers sleeps here .	the dancers sleeps here .
the dancers has a problem .	The dancers has a problem .
the dancers has to go .	The dancers has to go .
the dancers gets it .	The dancers gets it .
the dancers has the flu .	dancers has the flu .
the dancers feels great .	The dancers feels great.
the dancers is n't going to come .	The dancers is n't going to come .
most people is here .	Most people are here .
most people has n't been there .	Most people haven't been there .
most people likes to read .	Most people like to read .
most people knows where to go .	Most people know where to go.
most people seems nice .	Most people seems nice .
most people is walking .	Most people walk .
most people sleeps here .	Most people sleep here .
most people has a problem .	Most people have a problem .
most people has to go .	Most people have to go.
most people gets it .	Most people get it .
most people has the flu .	Most people have the flu.
most people feels great .	Most people feel great.
most people is n't going to come .	Most people aren't going to come.
mary and sarah is here .	mary and sarah is here .
mary and sarah has n't been there .	mary and sarah hasn't been there .
mary and sarah likes to read .	mary and sarah like to read.
mary and sarah knows where to go .	mary and sarah know where to go.
mary and sarah seems nice .	mary and sarah seem nice .
mary and sarah is walking .	mary and sarah walking .
mary and sarah sleeps here .	mary and sarah sleep here .
mary and sarah has a problem .	mary and sarah have a problem .
mary and sarah has to go .	mary and sarah have to go .
mary and sarah gets it .	mary and sarah gets it .
mary and sarah has the flu .	mary and sarah have the flu.
mary and sarah feels great .	mary and sarah feels great.
mary and sarah is n't going to come .	mary and sarah is n't going to come .
the doctors is here .	The doctors are here .
the doctors has n't been there .	The doctors hasn't been there .
the doctors likes to read .	The doctors like to read .
the doctors knows where to go .	The doctors knows where to go.
the doctors seems nice .	The doctors seems nice .
the doctors is walking .	The doctor is walking .
the doctors sleeps here .	The doctors sleep here .
the doctors has a problem .	The doctors has a problem .
the doctors has to go .	The doctors has to go .
the doctors gets it .	The doctors get it .
the doctors has the flu .	The doctors have the flu .
the doctors feels great .	The doctors feel great.
the doctors is n't going to come .	The doctors isn't going to come .
some women is here .	Some women is here .
some women has n't been there .	Some women hasn't been there.
some women likes to read .	Some women like to read.
some women knows where to go .	Some women know where to go.
some women seems nice .	Some women seems nice .
some women is walking .	Some women are walking .
some women sleeps here .	Some women sleep here .
some women has a problem .	Some women have a problem .
some women has to go .	Some women has to go.
some women gets it .	Some women get it .
some women has the flu .	Some women have the flu.
some women feels great .	Some women feel great.
some women is n't going to come .	Some women is n't going to come.
john and his wife is here .	John and his wife are here.
john and his wife has n't been there .	John and his wife haven't been there.
john and his wife likes to read .	John and his wife like to read.
john and his wife knows where to go .	John and his wife know where to go.
john and his wife seems nice .	John and his wife seem nice.
john and his wife is walking .	John and his wife walking .
john and his wife sleeps here .	John and his wife sleep here.
john and his wife has a problem .	John and his wife have a problem.
john and his wife has to go .	John and his wife have to go.
john and his wife gets it .	John and his wife get it .
john and his wife has the flu .	John and his wife have the flu.
john and his wife feels great .	John and his wife feel great.
john and his wife is n't going to come .	John and his wife aren't going to come.
mr. and mrs. smith is here .	Mr. and Mrs. Smith is here.
mr. and mrs. smith has n't been there .	Mr. and Mrs. Smith has n't been there .
mr. and mrs. smith likes to read .	Mr. and Mrs. Smith likes to read.
mr. and mrs. smith knows where to go .	Mr. and Mrs. Smith knows where to go.
mr. and mrs. smith seems nice .	Mr. and Mrs. Smith seems nice .
mr. and mrs. smith is walking .	Mr. and Mrs. Smith walking .
mr. and mrs. smith sleeps here .	Mr. and Mrs. Smith sleeps here.
mr. and mrs. smith has a problem .	Mr. and Mrs. Smith has a problem.
mr. and mrs. smith has to go .	Mr. and Mrs. Smith has to go.
mr. and mrs. smith gets it .	Mr. and Mrs. Smith gets it .
mr. and mrs. smith has the flu .	Mrs. and Mrs. Smith have the flu.
mr. and mrs. smith feels great .	Mr. and Mrs. Smith feels great.
mr. and mrs. smith is n't going to come .	Mr. and Mrs. Smith is n't going to come .
the guests of honor is here .	The guests of honor is here.
the guests of honor has n't been there .	The guests of honor hasn't been there.
the guests of honor likes to read .	The guests of honor like to read .
the guests of honor knows where to go .	The guests of honor know where to go.
the guests of honor seems nice .	The guests of honor seems nice.
the guests of honor is walking .	The guests of honor walk .
the guests of honor sleeps here .	The guests of honor sleep here.
the guests of honor has a problem .	The guests of honor has a problem .
the guests of honor has to go .	The guests of honor has to go.
the guests of honor gets it .	The guest of honor gets it.
the guests of honor has the flu .	The guests of honor has the flu.
the guests of honor feels great .	The guests of honor felt great.
the guests of honor is n't going to come .	The guests of honor is n't going to come.
